,date,days_since_start,cases,cases_increase,7_day_cases,14_day_cases,42_day_cases,cases_pct_inc,deaths,deaths_increase,deaths_pct_inc,7_day_deaths,42_day_deaths,14_day_deaths
46,2020-03-07,47,428,117,51.142857142857146,28.428571428571427,10.119047619047619,37.62,19,4,26.67,2.5714285714285716,0.4523809523809524,1.3571428571428572
47,2020-03-08,48,547,119,65.57142857142857,36.92857142857143,12.904761904761905,27.8,22,3,15.79,2.7142857142857144,0.5238095238095238,1.5714285714285714
48,2020-03-09,49,748,201,92.0,50.357142857142854,17.69047619047619,36.75,26,4,18.18,2.857142857142857,0.6190476190476191,1.8571428571428572
49,2020-03-10,50,1018,270,127.57142857142857,69.5,24.11904761904762,36.1,31,5,19.23,3.0,0.7380952380952381,2.2142857142857144
50,2020-03-11,51,1263,245,157.42857142857142,85.92857142857143,29.952380952380953,24.07,37,6,19.35,3.5714285714285716,0.8809523809523809,2.642857142857143
51,2020-03-12,52,1668,405,205.71428571428572,114.85714285714286,39.57142857142857,32.07,43,6,16.22,4.428571428571429,1.0238095238095237,3.0714285714285716
52,2020-03-13,53,2224,556,273.2857142857143,154.21428571428572,52.785714285714285,33.33,50,7,16.28,5.0,1.1904761904761905,3.5714285714285716
53,2020-03-14,54,2898,674,352.85714285714283,202.0,68.80952380952381,30.31,60,10,20.0,5.857142857142857,1.4285714285714286,4.214285714285714
54,2020-03-15,55,3600,702,436.14285714285717,250.85714285714286,85.45238095238095,24.22,68,8,13.33,6.571428571428571,1.619047619047619,4.642857142857143
55,2020-03-16,56,4507,907,537.0,314.5,107.04761904761905,25.19,91,23,33.82,9.285714285714286,2.1666666666666665,6.071428571428571
56,2020-03-17,57,5906,1399,698.2857142857143,412.92857142857144,140.35714285714286,31.04,117,26,28.57,12.285714285714286,2.7857142857142856,7.642857142857143
57,2020-03-18,58,8350,2444,1012.4285714285714,584.9285714285714,198.52380952380952,41.38,162,45,38.46,17.857142857142858,3.857142857142857,10.714285714285714
58,2020-03-19,59,12393,4043,1532.142857142857,868.9285714285714,294.7857142857143,48.42,212,50,30.86,24.142857142857142,5.0476190476190474,14.285714285714286
59,2020-03-20,60,18012,5619,2255.4285714285716,1264.357142857143,428.57142857142856,45.34,277,65,30.66,32.42857142857143,6.595238095238095,18.714285714285715
60,2020-03-21,61,24528,6516,3090.0,1721.4285714285713,583.7142857142857,36.18,360,83,29.96,42.857142857142854,8.571428571428571,24.357142857142858
61,2020-03-22,62,33073,8545,4210.428571428572,2323.285714285714,787.1666666666666,34.84,458,98,27.22,55.714285714285715,10.904761904761905,31.142857142857142
62,2020-03-23,63,43505,10432,5571.142857142857,3054.0714285714284,1035.5238095238096,31.54,579,121,26.42,69.71428571428571,13.785714285714286,39.5
63,2020-03-24,64,53938,10433,6861.714285714285,3780.0,1283.9285714285713,23.98,785,206,35.58,95.42857142857143,18.69047619047619,53.857142857142854
64,2020-03-25,65,68572,14634,8603.142857142857,4807.785714285715,1632.3333333333333,27.13,1054,269,34.27,127.42857142857143,25.095238095238095,72.64285714285714
65,2020-03-26,66,85570,16998,10453.857142857143,5993.0,2037.0238095238096,24.79,1353,299,28.37,163.0,32.214285714285715,93.57142857142857
66,2020-03-27,67,102900,17330,12126.857142857143,7191.142857142857,2449.6428571428573,20.25,1770,417,30.82,213.28571428571428,42.142857142857146,122.85714285714286
67,2020-03-28,68,123966,21066,14205.42857142857,8647.714285714286,2951.214285714286,20.47,2300,530,29.94,277.14285714285717,54.76190476190476,160.0
68,2020-03-29,69,142486,18520,15630.42857142857,9920.42857142857,3392.1666666666665,14.94,2718,418,18.17,322.85714285714283,64.71428571428571,189.28571428571428
69,2020-03-30,70,163955,21469,17207.14285714286,11389.142857142857,3903.095238095238,15.07,3368,650,23.91,398.42857142857144,80.19047619047619,234.07142857142858
70,2020-03-31,71,188461,24506,19217.571428571428,13039.642857142857,4486.571428571428,14.95,4304,936,27.79,502.7142857142857,102.47619047619048,299.07142857142856
71,2020-04-01,72,215391,26930,20974.14285714286,14788.642857142857,5127.761904761905,14.29,5325,1021,23.72,610.1428571428571,126.78571428571429,368.7857142857143
72,2020-04-02,73,245108,29717,22791.14285714286,16622.5,5835.261904761905,13.8,6541,1216,22.84,741.1428571428571,155.73809523809524,452.07142857142856
73,2020-04-03,74,277426,32318,24932.285714285714,18529.571428571428,6604.666666666667,13.19,7932,1391,21.27,880.2857142857143,188.85714285714286,546.7857142857143
74,2020-04-04,75,312525,35099,26937.0,20571.214285714286,7440.357142857143,12.65,9488,1556,19.62,1026.857142857143,225.9047619047619,652.0
75,2020-04-05,76,338141,25616,27950.714285714286,21790.571428571428,8050.261904761905,8.2,10856,1368,14.42,1162.5714285714287,258.4761904761905,742.7142857142857
76,2020-04-06,77,369057,30916,29300.285714285714,23253.714285714286,8786.047619047618,9.14,12382,1526,14.06,1287.7142857142858,294.8095238095238,843.0714285714286
77,2020-04-07,78,399394,30337,30133.285714285714,24675.428571428572,9508.309523809523,8.22,14616,2234,18.04,1473.142857142857,348.0,987.9285714285714
78,2020-04-08,79,431214,31820,30831.85714285714,25903.0,10265.57142857143,7.97,16701,2085,14.27,1625.142857142857,397.64285714285717,1117.642857142857
79,2020-04-09,80,465913,34699,31543.571428571428,27167.35714285714,11091.738095238095,8.05,18821,2120,12.69,1754.2857142857142,448.1190476190476,1247.7142857142858
80,2020-04-10,81,499386,33473,31708.571428571428,28320.428571428572,11888.595238095239,7.18,21084,2263,12.02,1878.857142857143,502.0,1379.5714285714287
81,2020-04-11,82,531106,31720,31225.85714285714,29081.428571428572,12643.714285714286,6.35,23168,2084,9.88,1954.2857142857142,551.5952380952381,1490.5714285714287
82,2020-04-12,83,558249,27143,31444.0,29697.35714285714,13289.547619047618,5.11,24849,1681,7.26,1999.0,591.5714285714286,1580.7857142857142
83,2020-04-13,84,584018,25769,30708.714285714286,30004.5,13902.714285714286,4.62,26613,1764,7.1,2033.0,633.5,1660.357142857143
84,2020-04-14,85,610709,26691,30187.85714285714,30160.571428571428,14537.714285714286,4.57,29318,2705,10.16,2100.285714285714,697.8095238095239,1786.7142857142858
85,2020-04-15,86,640742,30033,29932.571428571428,30382.214285714286,15251.92857142857,4.92,32070,2752,9.39,2195.5714285714284,763.2857142857143,1910.357142857143
86,2020-04-16,87,672355,31613,29491.714285714286,30517.64285714286,16003.02380952381,4.93,34419,2349,7.32,2228.285714285714,819.2142857142857,1991.2857142857142
87,2020-04-17,88,703864,31509,29211.14285714286,30459.85714285714,16751.261904761905,4.69,36708,2289,6.65,2232.0,873.6428571428571,2055.4285714285716
88,2020-04-18,89,732262,28398,28736.571428571428,29981.214285714286,17424.619047619046,4.03,38659,1951,5.31,2213.0,920.0,2083.6428571428573
89,2020-04-19,90,757596,25334,28478.14285714286,29961.071428571428,18024.97619047619,3.46,40179,1520,3.93,2190.0,956.1190476190476,2094.5
90,2020-04-20,91,784991,27395,28710.428571428572,29709.571428571428,18672.45238095238,3.62,42016,1837,4.57,2200.4285714285716,999.7619047619048,2116.714285714286
91,2020-04-21,92,810505,25514,28542.285714285714,29365.071428571428,19273.5,3.25,44688,2672,6.36,2195.714285714286,1063.2619047619048,2148.0
92,2020-04-22,93,839336,28831,28370.571428571428,29151.571428571428,19954.119047619046,3.56,47059,2371,5.31,2141.285714285714,1119.5714285714287,2168.4285714285716
93,2020-04-23,94,873112,33776,28679.571428571428,29085.64285714286,20748.666666666668,4.02,49228,2169,4.61,2115.5714285714284,1171.0714285714287,2171.9285714285716
94,2020-04-24,95,909853,36741,29427.0,29319.071428571428,21610.214285714286,4.21,51360,2132,4.33,2093.1428571428573,1221.6666666666667,2162.5714285714284
95,2020-04-25,96,944261,34408,30285.571428571428,29511.071428571428,22413.404761904763,3.78,53327,1967,3.83,2095.4285714285716,1268.2619047619048,2154.214285714286
